base,symbol
SNX,SNXUSDT
SOL,SOLUSDT
SPELL,SPELLUSDT
SSV,SSVUSDT
STEEM,STEEMUSDT
STG,STGUSDT
STMX,STMXUSDT
STORJ,STORJUSDT
STPT,STPTUSDT
STRAX,STRAXUSDT
STX,STXUSDT
SUI,SUIUSDT
SUN,SUNUSDT
SUPER,SUPERUSDT
SUSHI,SUSHIUSDT
SWEAT,SWEATUSDT
SXP,SXPUSDT
TAO,TAOUSDT
THETA,THETAUSDT
TIA,TIAUSDT
TLM,TLMUSDT
TOKEN,TOKENUSDT
TOMI,TOMIUSDT
TON,TONUSDT
TRB,TRBUSDT
TRU,TRUUSDT
TRX,TRXUSDT
T,TUSDT
TWT,TWTUSDT
UMA,UMAUSDT
UNFI,UNFIUSDT
UNI,UNIUSDT
USDC,USDCUSDT
USTC,USTCUSDT
VET,VETUSDT
VGX,VGXUSDT
VRA,VRAUSDT
WAVES,WAVESUSDT
WAXP,WAXPUSDT
WIF,WIFUSDT
WLD,WLDUSDT
WOO,WOOUSDT
XAI,XAIUSDT
XCN,XCNUSDT
XEM,XEMUSDT
XLM,XLMUSDT
XMR,XMRUSDT
XNO,XNOUSDT
XRD,XRDUSDT
XRP,XRPUSDT
XTZ,XTZUSDT
XVG,XVGUSDT
XVS,XVSUSDT
YFII,YFIIUSDT
YFI,YFIUSDT
YGG,YGGUSDT
ZEC,ZECUSDT
ZEN,ZENUSDT
ZETA,ZETAUSDT
ZIL,ZILUSDT
ZKF,ZKFUSDT
ZRX,ZRXUSDT
